wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),bandwidth (nm)
216.4,0.032092796168775556,4.1720634908415377E-4,1.0
216.5,0.03174800024044991,4.1272398084402084E-4,1.0
216.6,0.03139975755171418,4.08196821808815E-4,1.0
216.7,0.031108681132736207,4.044128581881523E-4,1.0
216.8,0.03092964940361023,4.020854248665273E-4,1.0
216.9,0.030896910175019502,4.016598395537585E-4,1.0
217.0,0.031020613906606438,4.032679717056453E-4,1.0
217.1,0.0312937371996224,4.068185808137059E-4,1.0
217.2,0.03170665909674883,4.121865495108068E-4,1.0
217.3,0.03226099807678699,4.1939294897019863E-4,1.0
217.4,0.03297484713423729,4.2867299634963274E-4,1.0
217.5,0.03387682936641812,4.4039878412149847E-4,1.0
217.6,0.03498842458458066,4.5484950533136725E-4,1.0
217.7,0.03630388818804144,4.7195053775794804E-4,1.0
217.8,0.03777411632921934,4.910635179840028E-4,1.0
217.9,0.03930373864615917,5.109485937282443E-4,1.0
218.0,0.040763636496716736,5.299272597767413E-4,1.0
218.1,0.04201732815926314,5.462252302095294E-4,1.0
218.2,0.04295329844627022,5.583928432315588E-4,1.0
218.3,0.04351285252466798,5.656670546159148E-4,1.0
218.4,0.04370573123909354,5.681745242327452E-4,1.0
218.5,0.04360700403221726,5.668910453096032E-4,1.0
218.6,0.04333828659816026,5.633977125398815E-4,1.0
218.7,0.04303774907162189,5.594907561317086E-4,1.0
218.8,0.04282893533443093,5.567761836573482E-4,1.0
218.9,0.04279584643449425,5.563460290431976E-4,1.0
219.0,0.04297081198539734,5.586205516010523E-4,1.0
219.1,0.0433370577531445,5.633817054331303E-4,1.0
219.2,0.04384282238792538,5.699566681869328E-4,1.0
219.3,0.044422077949014906,5.774869932793081E-4,1.0
219.4,0.04501481084283829,5.851925234310329E-4,1.0
219.5,0.045580938742539885,5.925521836616099E-4,1.0
219.6,0.04610444670047521,5.993577651679516E-4,1.0
219.7,0.046588611636686324,6.056519341655076E-4,1.0
219.8,0.04704316440520048,6.115611176937819E-4,1.0
219.9,0.04746904412334681,6.170975975692272E-4,1.0
220.0,0.04784575005964279,6.219947244971991E-4,1.0
220.1,0.04812429825382591,6.256158812902868E-4,1.0
220.2,0.04823049843689561,6.269964505918324E-4,1.0
220.3,0.048078990838000775,6.250268779695034E-4,1.0
220.4,0.04759549527265191,6.187414401210845E-4,1.0
220.5,0.04674099840925098,6.076329154893756E-4,1.0
220.6,0.045532014725936654,5.919161485508084E-4,1.0
220.7,0.04404663082956433,5.72606164496392E-4,1.0
220.8,0.042415174226074215,5.513972137123346E-4,1.0
220.9,0.0407967353872633,5.303575308062136E-4,1.0
221.0,0.03934784718879819,5.115219973959029E-4,1.0
221.1,0.03819449122131944,4.965283442288637E-4,1.0
221.2,0.037414724119852784,4.86391392769292E-4,1.0
221.3,0.03703643966719508,4.8147368943318725E-4,1.0
221.4,0.037048248568078285,4.816272121388465E-4,1.0
221.5,0.0374142645517981,4.863853973802179E-4,1.0
221.6,0.038087192071162464,4.951334558427334E-4,1.0
221.7,0.039013951015856266,5.071813357062638E-4,1.0
221.8,0.040134447867425684,5.21747802849859E-4,1.0
221.9,0.041377909145450587,5.379127687774599E-4,1.0
222.0,0.04266380054365397,5.546293687075377E-4,1.0
